,Genre,Production Company,Movie name,Director name
0,Action," Dune Entertainment, 20th Century Fox, Ingenious Film Partners",Avatar,James Cameron
1,Action, Marvel Studios,Avengers-Endgame-(2019),
2,Drama," 20th Century Fox, Paramount Pictures, Lightstorm Entertainment",Titanic-(1997),James Cameron
3,Adventure," Lucasfilm, Bad Robot",Star-Wars-Ep-VII-The-Force-Awakens,J.J. Abrams
4,Action, Marvel Studios,Avengers-Infinity-War,
5,Action," Universal Pictures, Amblin Entertainment, Legendary Pictures",Jurassic-World,
6,Adventure," Walt Disney Pictures, Fairview Entertainment",Lion-King-The-(Live-Action)-(2019),Jon Favreau
7,Action," Original Film, One Race Films, Universal Pictures, MRC, China Film Company, Dentsu Inc.",Furious-7,James Wan
8,Action," Marvel Studios, Paramount Pictures",Avengers-The-(2012),
9,Adventure, Walt Disney Animation Studios,Frozen-II-(2019),Jennifer Lee
10,Action, Marvel Studios,Avengers-Age-of-Ultron,
11,Action, Marvel Studios,Black-Panther,
12,Adventure," Warner Bros., Heyday Films",Harry-Potter-and-the-Deathly-Hallows-Part-II,David Yates
13,Adventure," Lucasfilm, Walt Disney Pictures",Star-Wars-Ep-VIII-The-Last-Jedi,
14,Action," Universal Pictures, Amblin Entertainment, The Kennedy/Marshall Company, Legendary Pictures, Perfect World Pictures",Jurassic-World-Fallen-Kingdom-(2018),J.A. Bayona*
15,Musical, Walt Disney Animation Studios,Frozen-(2013),Chris Buck
16,Musical," Walt Disney Pictures, Mandeville Films",Beauty-and-the-Beast-(2017),Bill Condon
17,Adventure, Disney-Pixar,Incredibles-2,Brad Bird
18,Action," Universal Pictures, Original Film, One Race Films",Fate-of-the-Furious-The,F. Gary Gray
19,Action," Marvel Studios, Paramount Pictures, DMG Entertainment",Iron-Man-3,
20,Adventure," Universal Pictures, Illumination Entertainment",Minions,
21,Action, Marvel Studios,Captain-America-Civil-War,
22,Action," Warner Bros., DC Films, RatPac Entertainment, The Safran Company, Cruel and Unusual Films, Mad Ghost Productions",Aquaman-(2018),James Wan
23,Action," Columbia Pictures, Marvel Studios, Pascal Pictures",Spider-Man-Far-From-Home-(2019),
24,Action, Marvel Studios,Captain-Marvel-(2019),
25,Action," Paramount Pictures, di Bonaventura Pictures, Hasbro Studios",Transformers-Dark-of-the-Moon-(2011),Michael Bay
26,Adventure," Wingnut Films, New Line Cinema",Lord-of-the-Rings-The-Return-of-the-King-The,
27,Action," Eon Productions, B23, Metro-Goldwyn-Mayer Pictures, Columbia Pictures",Skyfall,Sam Mendes
28,Action," di Bonaventura Pictures, Tom DeSanto, Don Murphy",Transformers-Age-of-Extinction,Michael Bay
29,Action," Warner Bros., Legendary Pictures, Syncopy",Dark-Knight-Rises-The,
30,Adventure, Disney-Pixar,Toy-Story-4-(2019),Josh Cooley
31,Adventure," Lucasfilm, Bad Robot, Walt Disney Pictures",Star-Wars-The-Rise-of-Skywalker-(2019),
32,Thriller/Suspense," Village Roadshow Productions, Warner Bros., Bron Creative, Joint Effort",Joker-(2019),Todd Phillips
33,Adventure," Walt Disney Pictures, Disney-Pixar",Toy-Story-3,Lee Unkrich
34,Adventure," Walt Disney Pictures, Jerry Bruckheimer",Pirates-of-the-Caribbean-Dead-Mans-Chest,Gore Verbinski
35,Adventure, Lucasfilm,Rogue-One-A-Star-Wars-Story,Gareth Edwards
36,Adventure," Walt Disney Pictures, Rideback",Aladdin-(2019),Guy Ritchie
37,Adventure, Walt Disney Pictures,Pirates-of-the-Caribbean-On-Stranger-Tides,Rob Marshall
38,,,Jurassic-Park,
39,Adventure," Universal Pictures, Illumination Entertainment",Despicable-Me-3,Pierre Coffin
40,Adventure," Lucasfilm, 20th Century Fox",Star-Wars-Ep-I-The-Phantom-Menace,George Lucas
41,,,Alice-in-Wonderland-(2010),
42,Adventure, Disney-Pixar,Finding-Dory,
43,Adventure," New Line Cinema, Metro-Goldwyn-Mayer Pictures, Wingnut Films",Hobbit-An-Unexpected-Journey-The,Peter Jackson
44,Adventure," Walt Disney Pictures, Walt Disney Animation Studios",Zootopia-(2016),Byron Howard
45,Action," Legendary Pictures, Warner Bros., Syncopy",Dark-Knight-The,Christopher Nolan
46,Adventure, Walt Disney Pictures,Lion-King-The,Roger Allers
47,Adventure," Universal Pictures, Chris Meledandri, Illumination Entertainment",Despicable-Me-2,Chris Renaud
48,Adventure," Heyday Films, 1492 Pictures, Duncan Henderson Productions",Harry-Potter-and-the-Sorcerers-Stone,Chris Columbus
49,Adventure," Columbia Pictures, Matt Tolmach Productions, Seven Bucks Productions",Jumanji-Welcome-to-the-Jungle,
50,Adventure," Walt Disney Pictures, Jerry Bruckheimer",Pirates-of-the-Caribbean-At-Worlds-End,Gore Verbinski
51,Adventure, Wingnut Films,Hobbit-The-Desolation-of-Smaug-The,Peter Jackson
52,Adventure," Heyday Films, Warner Bros.",Harry-Potter-and-the-Deathly-Hallows-Part-I,David Yates
53,Adventure," Walt Disney Pictures, Fairview Entertainment",Jungle-Book-The-(2016),Jon Favreau
54,Adventure," New Line Cinema, Wingnut Films, Metro-Goldwyn-Mayer Pictures",Hobbit-The-Battle-of-the-Five-Armies-The,Peter Jackson
55,Adventure, Heyday Films,Harry-Potter-and-the-Order-of-the-Phoenix,David Yates
56,Adventure," Disney-Pixar, Walt Disney Pictures",Finding-Nemo,
57,Adventure," PDI, DreamWorks Animation, DreamWorks Pictures",Shrek-2,
58,Adventure, Heyday Films,Harry-Potter-and-the-Half-Blood-Prince,David Yates
59,Adventure, Wingnut Films,Lord-of-the-Rings-The-Two-Towers-The,Peter Jackson
60,Adventure," Columbia Pictures, Marvel Studios, Laura Ziskin Productions",Spider-Man-3,
61,Drama," 20th Century Fox, GK Films, Regency Enterprises, Queen Films, Tribeca Film",Bohemian-Rhapsody-(2018),Bryan Singer
62,Adventure," Warner Bros., Heyday Films",Harry-Potter-and-the-Goblet-of-Fire,Mike Newell
63,Adventure," New Line Cinema, Wingnut Films",Lord-of-the-Rings-The-Fellowship-of-the-Ring-The,Peter Jackson
64,Adventure, Blue Sky Studios,Ice-Age-Dawn-of-the-Dinosaurs,Carlos Saldanha
65,Adventure," Illumination Entertainment, Universal Pictures, Chris Meledandri, Dentsu Inc., Fuji Television Network",Secret-Life-of-Pets-The,
66,Action," Marvel Studios, Columbia Pictures, LStar Capital",Spider-Man-Homecoming,
67,Adventure," 20th Century Fox, Blue Sky Studios",Ice-Age-Continental-Drift,
68,Action, Eon Productions,Spectre,Sam Mendes
69,Adventure," Warner Bros., Heyday Films, 1492 Pictures",Harry-Potter-and-the-Chamber-of-Secrets,
70,Action," Warner Bros., RatPac Entertainment, Dune Entertainment, Atlas Entertainment, Cruel and Unusual Films",Batman-v-Superman-Dawn-of-Justice,
71,Action, Marvel Studios,Guardians-of-the-Galaxy-Vol-2,
72,Adventure," Lionsgate, Color Force",Hunger-Games-Catching-Fire-The,Francis Lawrence
73,Adventure, Disney-Pixar,Inside-Out-(2015),Pete Docter
74,Action," Columbia Pictures, Tencent Pictures , Marvel Studios, Arad Productions, Matt Tolmach Productions, Pascal Pictures",Venom-(2018),
75,Action, Marvel Studios,Thor-Ragnarok,
76,Adventure, Lucasfilm,Star-Wars-Ep-III-Revenge-of-the-Sith,George Lucas
